title,price,area,location,status
1 BHK Apartment,"11,000",567,"Dhanori, Pune",Unfurnished
1 RK Studio Apartment,"5,000",300,"MAE Campus, Pune",Furnished
2 BHK Apartment,"19,000",1020,"Warje, Pune",Unfurnished
1 BHK Independent Floor,"5,500",500,"Lohegaon, Pune",Semi-Furnished
2 BHK Independent Floor,"14,999",950,"Lohegaon, Pune",Unfurnished
1 BHK Apartment,"10,000",350,"Mahalunge Ingale, Pune",Unfurnished
3 BHK Independent House,"16,800",2450,"Bhegade Aali, Pune",Semi-Furnished
1 BHK Independent House,"6,500",650,"Mundhwa, Pune",Semi-Furnished
2 BHK Apartment,"20,000",1050,"Narhe, Pune",Semi-Furnished
2 BHK Apartment,"8,200",800,"Mundhwa, Pune",Unfurnished
2 BHK Apartment,"11,000",928,"Bopkhel, Pune",Unfurnished
3 BHK Apartment,"70,000",1350,"Shivaji Nagar, Pune",Unfurnished
1 BHK Apartment,"5,500",600,"Shikrapur, Pune",Unfurnished
2 BHK Apartment in Goel Ganga Goel Hari Ganga,"35,000",1200,"Yerawada, Pune",Semi-Furnished
3 BHK Apartment,"20,000",1920,"Shewalewadi, Pune",Unfurnished
4 BHK Apartment in Marvel Zephyr,1.25 L,4885,"Kharadi, Pune",Furnished
1 RK Studio Apartment,"7,500",450,"Mundhwa, Pune",Unfurnished
1 BHK Apartment,"7,200",688,"Mahalunge Ingale, Pune",Semi-Furnished
2 BHK Apartment in Aurum Vatika Phase 1,"16,000",1095,"Dighi, Pune",Semi-Furnished
1 BHK Apartment,"7,000",600,"Jambhulwadi, Pune",Unfurnished
1 BHK Apartment,"6,000",463,"Lohegaon, Pune",Semi-Furnished
2 BHK Apartment in Calyx Calyx Vanalika,"8,000",950,"Pirangut, Pune",Unfurnished
2 BHK Apartment in KUL Kubera Sankul,"15,000",550,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Jayshree Boulevard,"12,000",906,"Lohegaon, Pune",Unfurnished
2 BHK Apartment in Vardhaman Bhoomi,"17,000",961,"Kalewadi, Pune",Unfurnished
1 BHK Independent Floor,"9,500",750,"Bhugaon, Pune",Furnished
2 BHK Apartment in Windmill Village,"30,000",1200,"Bavdhan, Pune",Furnished
1 BHK Independent Floor,"12,000",600,"Vadgaon Budruk, Pune",Unfurnished
1 BHK Apartment,"6,800",480,"Lohegaon, Pune",Semi-Furnished
1 BHK Apartment,"8,500",500,"Manjari Budruk, Pune",Unfurnished
2 BHK Apartment,"15,000",735,"Bhukum, Pune",Semi-Furnished
1 BHK Independent Floor,"15,000",600,"Bopodi, Pune",Unfurnished
1 RK Studio Apartment,"5,500",250,"Kasarwadi, Pune",Unfurnished
1 BHK Independent Floor,"7,500",750,"Fursungi, Pune",Unfurnished
2 BHK Apartment in Krishna Aeropolis,"23,000",1000,"Lohegaon, Pune",Semi-Furnished
1 BHK Independent Floor,"10,000",450,"Mangadewadi, Pune",Semi-Furnished
3 BHK Apartment in Pankaj Aasmaan Phase I,"20,000",1665,"Lohegaon, Pune",Unfurnished
1 BHK Apartment,"11,000",650,"Anand Nagar, Pune",Semi-Furnished
3 BHK Villa,1.25 L,2800,"Sangamvadi, Pune",Furnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
3 BHK Apartment,"35,000",1500,"Sangamvadi, Pune",Furnished
3 BHK Apartment,"32,000",1500,"Ganj Peth, Pune",Semi-Furnished
2 BHK Apartment in Xrbia Xrbia,"7,500",410,"Talegaon Dabhade, Pune",Unfurnished
2 BHK Apartment,"18,000",940,"Rahatani, Pune",Semi-Furnished
4 BHK Independent House,4.89 L,5500,"Aundh, Pune",Furnished
3 BHK Apartment in Magnus Simpli City,"11,000",941,"Handewadi, Pune",Semi-Furnished
2 BHK Apartment in Legacy Twin Arcs,"15,500",975,"Tathawade, Pune",Semi-Furnished
3 BHK Apartment in Krisna Nirmaan Amorapolis A Wing,"27,000",1500,"Dhanori, Pune",Semi-Furnished
2 BHK Apartment,"17,000",1050,"Ambegaon Budruk, Pune",Semi-Furnished
3 BHK Villa,"60,000",3500,"Kothrud, Pune",Furnished
4 BHK Apartment in Kasturi The Balmoral Estate,2.1 L,3650,"Baner, Pune",Furnished
3 BHK Apartment in Goel Ganga Acropolis,"50,000",1500,"Sus, Pune",Furnished
2 BHK Apartment in Amanora Aspire Towers,"42,000",1200,"Hadapsar, Pune",Furnished
2 BHK Apartment in Reputed Builder Shraddha Garden,"16,000",750,"Chinchwad, Pune",Unfurnished
2 BHK Apartment in Paranjape Azure B,"20,000",1087,"Tathawade, Pune",Semi-Furnished
2 BHK Apartment,"35,000",1070,"Hadapsar, Pune",Furnished
2 BHK Apartment in Marvel Ganga Fria,"25,000",1255,"Wagholi, Pune",Semi-Furnished
3 BHK Apartment in Dreams Belle Vue,"27,500",1350,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment,"15,795",1053,"Bhegade Aali, Pune",Semi-Furnished
2 BHK Apartment in Amanora Trendy Homes,"40,000",1070,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Future Towers,"42,000",1150,"Hadapsar, Pune",Furnished
3 BHK Apartment in Shubh Gateway,"50,000",1650,"Viman Nagar, Pune",Unfurnished
1 BHK Apartment in Paranjape Blue Ridge,"19,000",550,"Hinjewadi, Pune",Semi-Furnished
1 RK Studio Apartment,"8,500",400,"Wadgaon Sheri, Pune",Unfurnished
2 BHK Apartment in Ajit Periwinkle,"12,000",1000,"Wagholi, Pune",Unfurnished
2 BHK Apartment in Choice Goodwill 24,"20,000",1196,"Lohegaon, Pune",Semi-Furnished
2 BHK Apartment in Kumar Kruti,"32,000",1100,"Kalyani Nagar, Pune",Unfurnished
3 BHK Independent House,"24,500",1800,"Pimple Nilakh, Pune",Unfurnished
1 BHK Apartment,"13,500",637,"Pimple Gurav, Pune",Unfurnished
4 BHK Villa,1.75 L,5600,"Tungarli, Pune",Furnished
2 BHK Apartment in Oxford Florida Water Color,"36,000",1080,"Mundhwa, Pune",Furnished
3 BHK Apartment in Pride Purple Park Express Phase II,"41,000",1365,"Baner, Pune",Furnished
1 RK Studio Apartment,"9,000",360,"Kothrud, Pune",Unfurnished
4 BHK Apartment in Devi Sacred Heart Town,"50,000",2100,"Wanowrie, Pune",Semi-Furnished
3 BHK Apartment in Kalpataru Jade Residences,"45,000",1650,"Baner, Pune",Semi-Furnished
2 BHK Apartment in Mantra Senses,"14,500",1080,"Handewadi, Pune",Unfurnished
1 BHK Apartment in Paranjape Blue Ridge,"21,000",550,"Hinjewadi, Pune",Furnished
1 BHK Apartment in Vilas VJ Grand Central,"22,500",1100,"Wakad, Pune",Semi-Furnished
1 BHK Apartment in Pentagon Fortune East,"17,000",680,"Kharadi, Pune",Unfurnished
1 BHK Apartment in Nav Ankur Apartment,"14,000",550,"Ramkrishna Paramhans Nagar, Pune",Unfurnished
3 BHK Villa,"26,000",1600,"Moshi, Pune",Furnished
3 BHK Apartment in Goel Ganga Goel Hari Ganga,"37,000",1200,"Yerawada, Pune",Unfurnished
1 BHK Apartment,"13,000",600,"Pimple Gurav, Pune",Unfurnished
2 BHK Apartment in Godrej Prana,"22,000",1000,"Undri, Pune",Unfurnished
1 BHK Apartment in Vedant Kingston Serene,"9,000",670,"Undri, Pune",Unfurnished
3 BHK Apartment in Pride Purple Park Titanium,"65,000",1270,"Wakad, Pune",Furnished
2 BHK Apartment,"18,000",1000,"Chinchwad, Pune",Semi-Furnished
4 BHK Villa,1.5 L,6000,"Pimple Nilakh, Pune",Semi-Furnished
4 BHK Independent House,"75,000",3000,"Aundh, Pune",Semi-Furnished
1 BHK Apartment in Nirvana Lifecity,"10,500",700,"Lohegaon, Pune",Unfurnished
1 BHK Apartment in Sanskar Heights,"15,000",650,"Alandi, Pune",Unfurnished
2 BHK Apartment in Sukhwani Pacific,"20,000",900,"Thergaon, Pune",Semi-Furnished
2 BHK Apartment in Rama Rich Woods,"18,000",1120,"Moshi, Pune",Unfurnished
1 BHK Apartment in Kolte Patil Life Republic Sector R3 3rd Avenue,"12,900",650,"Hinjewadi, Pune",Semi-Furnished
2 BHK Apartment in Reputed Builder Aishwaryam Ventures,"15,500",889,"Chinchwad, Pune",Semi-Furnished
2 BHK Apartment,"22,000",1150,"Kharadi, Pune",Unfurnished
1 BHK Apartment in Lunkad Queensland,"25,000",500,"Viman Nagar, Pune",Furnished
4 BHK Apartment in Marvel Piazza Phase 01,"85,000",3500,"Viman Nagar, Pune",Semi-Furnished
2 BHK Apartment in Pharande Puneville,"25,000",950,"Tathawade, Pune",Furnished
3 BHK Apartment in Reputed Builder Gera Emerald City South,"45,000",1600,"Kharadi, Pune",Semi-Furnished
1 RK Studio Apartment,"7,500",400,"Mundhwa, Pune",Unfurnished
1 BHK Independent Floor,"6,000",500,"Lohegaon, Pune",Unfurnished
1 BHK Apartment,"11,000",580,"Dhanori, Pune",Unfurnished
1 BHK Independent House,"6,500",500,"Lohegaon, Pune",Unfurnished
1 BHK Apartment,"6,700",500,"Lohegaon, Pune",Semi-Furnished
2 BHK Apartment,"16,000",1000,"hingne Khurd, Pune",Semi-Furnished
1 RK Studio Apartment,"6,000",450,"hingne Khurd, Pune",Semi-Furnished
1 RK Studio Apartment,"4,500",350,"Wagholi, Pune",Unfurnished
1 RK Studio Apartment,"4,500",350,"Wagholi, Pune",Unfurnished
3 BHK Apartment,"35,000",1500,"Sangamvadi, Pune",Furnished
3 BHK Apartment,"35,000",1500,"Sangamvadi, Pune",Furnished
3 BHK Apartment,"35,000",1500,"Sangamvadi, Pune",Furnished
3 BHK Apartment,"35,000",1500,"Sangamvadi, Pune",Furnished
3 BHK Apartment,"35,000",1500,"Sangamvadi, Pune",Furnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
5 BHK Independent House,1.1 L,5000,"Wadgaon Sheri, Pune",Unfurnished
1 BHK Apartment,"9,000",600,"Ambegaon Budruk, Pune",Semi-Furnished
2 BHK Apartment in Chirag Grande View 7 Phase IV Building F And G,"18,000",1100,"Vadgaon Budruk, Pune",Semi-Furnished
3 BHK Apartment in Sanket Kool Homes Panchamrut,"25,000",1350,"Ambegaon Budruk, Pune",Semi-Furnished
2 BHK Apartment in Reputed Builder Ram Nagari,"15,000",1400,"Ambegaon Budruk, Pune",Unfurnished
2 BHK Apartment in ACME Aureli,"17,000",1000,"Vadgaon Budruk, Pune",Unfurnished
2 BHK Apartment in Vishwa Sai Vishwa,"13,000",910,"Ambegaon Budruk, Pune",Unfurnished
1 BHK Apartment in Eisha Erica,"9,000",600,"Dhayari, Pune",Unfurnished
2 BHK Apartment in Gini Viviana,"28,000",1200,"Balewadi, Pune",Furnished
2 BHK Independent House,"27,000",1350,"Balewadi, Pune",Furnished
2 BHK Apartment in Yashoda Rolling Hills,"28,000",1250,"Baner, Pune",Furnished
3 BHK Apartment in Aditya Aditya Comfort Zone Nest,"25,000",1200,"Baner, Pune",Unfurnished
2 BHK Apartment in Kundan Freshia,"26,000",1200,"Sus, Pune",Semi-Furnished
3 BHK Apartment in Yash Oakwood Hills,"28,000",1300,"Baner, Pune",Semi-Furnished
3 BHK Apartment in Yash Twin Tower,"29,000",1450,"Baner, Pune",Semi-Furnished
3 BHK Apartment in Supreme Palms,"28,000",1200,"Baner, Pune",Unfurnished
4 BHK Apartment in New Front Anjor Gold,"30,000",1800,"Baner, Pune",Semi-Furnished
2 BHK Apartment in Vyas Whispering Wind Phase II,"25,000",900,"Pashan, Pune",Semi-Furnished
2 BHK Apartment in Hardevi Sai Silicon Valley,"25,000",1005,"Balewadi, Pune",Furnished
2 BHK Apartment in Yashoda Rolling Hills,"28,000",1250,"Baner, Pune",Furnished
2 BHK Apartment in Mittal Sun Horizon,"24,000",1200,"Baner, Pune",Unfurnished
2 BHK Apartment in Mont Vert Blue Bells,"25,000",1200,"Pashan, Pune",Unfurnished
3 BHK Apartment in Regency Cosmos,"40,000",1550,"Baner, Pune",Furnished
2 BHK Apartment in Reputed Builder Atmosphere,"14,000",920,"Ambegaon Budruk, Pune",Semi-Furnished
3 BHK Apartment in JRS Atmosphere C Wing,"25,000",1430,"Ambegaon Budruk, Pune",Unfurnished
2 BHK Apartment in Reputed Builder Atmosphere,"16,000",945,"Ambegaon Budruk, Pune",Unfurnished
2 BHK Apartment,"14,500",855,"Ambegaon Budruk, Pune",Unfurnished
2 BHK Apartment,"14,000",850,"Ambegaon Budruk, Pune",Unfurnished
3 BHK Apartment in Paranjape Abhiruchi Parisar T1 T2 T3 M1A M1B And M2,"20,000",1300,"Dhayari, Pune",Unfurnished
1 BHK Apartment in Reputed Builder Ram Nagari,"11,000",670,"Ambegaon Budruk, Pune",Unfurnished
4 BHK Independent House,"30,000",1800,"Ambegaon Budruk, Pune",Semi-Furnished
3 BHK Apartment in JRS Atmosphere C Wing,"21,000",1400,"Ambegaon Budruk, Pune",Semi-Furnished
3 BHK Apartment in Paranjape Abhiruchi Parisar T1 T2 T3 M1A M1B And M2,"22,000",1350,"Dhayari, Pune",Unfurnished
3 BHK Apartment in Magarpatta Trillium,"42,000",1470,"Hadapsar, Pune",Unfurnished
3 BHK Apartment in Magarpatta Sylvania,"40,000",1650,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Magarpatta Sylvania,"33,000",1200,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Magarpatta Sylvania,"33,000",1200,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Kumar Picasso,"36,000",1200,"Hadapsar, Pune",Unfurnished
5 BHK Apartment in Kasturi Legacy,1.5 L,2200,"Baner, Pune",Furnished
3 BHK Apartment in Blue 27th Avenue,"27,000",1390,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Paranjape Gloria Grace,"20,000",1050,"Bavdhan, Pune",Unfurnished
3 BHK Apartment in Kolte Patil Stargaze,"27,000",1500,"Bavdhan, Pune",Semi-Furnished
